Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
GNDI3,6695,"-3.584,82",584,3423,"2,39%",2378,7965,8705,-621,9113,5088,"3,93%","-0,09%",117,"3,09%","-0,16%",000,"7.116.080.000,00",053,"25,23%"
GPAR3,4750,"-1.248,65",494,441514,"0,00%",4566,1601,"1.947,84",2032,"1.854,27","1.881,39","22,67%","-35,36%",2008,"0,31%","-0,40%",000,"766.309.000,00",002,"-57,34%"
PRNR3,1439,-79847,220,0691,"0,50%",735,338,1127,-510,1479,860,"6,13%","0,76%",175,"8,49%","-0,28%","3.801.580,00","306.004.000,00",131,"42,77%"
PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
PETZ3,525,-49095,134,0757,"0,05%",616,370,1532,-315,1546,497,"4,94%","-0,15%",194,"5,01%","-0,27%","55.460.700,00","1.813.550.000,00",024,"22,18%"
HETA3,9600,-47077,-014,12606,"0,00%",3407,-4036,1621,-14,12365,12365,"77,78%","-2,68%",75,"21,09%","0,03%",000,"-351.500.000,00",-092,"37,25%"
BAHI4,8600,-41161,2438,6240,"0,00%",4149,-1679,-30161,-542,-31528,24572,"-2,07%","-1,19%",21,"-1,42%","-5,92%",000,"93.107.000,00",122,"30,91%"
LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
BAHI5,6500,-31110,1842,4716,"0,00%",3136,-1269,-22796,-409,-24163,18832,"-2,07%","-1,19%",21,"-1,42%","-5,92%",000,"93.107.000,00",122,"30,91%"
CRFB3,930,-30636,100,0174,"0,00%",215,-963,480,-72,862,592,"3,63%","0,14%",95,"6,01%","-0,33%","79.517.400,00","19.620.000.000,00",121,"16,46%"
BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
DMMO3,176,-25865,-172,2854,"0,00%",3346,1190,637,-137,590,542,"44,81%","-1,10%",225,"70,39%","0,66%",000,"-553.275.000,00",000,"-17,37%"
SCLO3,1410,-25046,-10305,0000,"0,00%",239427,-9659,-16072,-9043,-16090,-16090,"0,00%","0,00%",21,"-191,75%","41,14%",000,"-131.355,00",-021,"-66,45%"
RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,0,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",0,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
DOHL3,1017,-11724,111,1311,"0,00%",791,177,-29318,291,-31768,5477,"-0,45%","-1,12%",488,"-0,30%","-0,95%",6780,"691.577.000,00",017,"5,26%"
SQIA3,2737,-11033,370,3592,"0,00%",1490,2587,6233,-384,6732,1850,"5,76%","-2,88%",143,"2,81%","-3,35%",000,"650.717.000,00",065,"46,32%"
LINX3,3740,-9095,438,7885,"1,52%",2745,1196,5317,4706,5149,2297,"14,83%","-8,67%",214,"6,82%","-4,81%",000,"1.619.010.000,00",022,"15,54%"
BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
FRIO3,16613,-8914,302,0512,"0,00%",530,1116,1188,-672,1993,1157,"4,31%","-0,22%",107,"6,36%","-3,39%","656.962,00","345.537.000,00",242,"8,19%"
AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
IDVL11,14000,-6600,6056,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
HAPV3,449,-5933,069,2121,"0,00%",456,1197,2991,-221,3342,4739,"7,09%","-3,57%",139,"1,71%","-1,17%","230.591.000,00","48.754.600.000,00",024,"30,20%"
PTBL3,529,-5326,192,0329,"0,00%",224,-439,750,-42,1794,686,"4,38%","-0,62%",87,"3,90%","-3,60%","2.703.980,00","388.929.000,00",327,"17,96%"
PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
AESB3,1142,-5156,161,1919,"0,65%",339,-687,738,-59,1813,898,"26,00%","0,72%",77,"5,25%","-3,13%","38.112.200,00","4.262.700.000,00",286,"76,84%"
TEND3,1402,-5005,199,0563,"0,00%",367,185,697,-134,880,698,"8,08%","-1,36%",158,"6,52%","-3,97%","28.320.600,00","869.365.000,00",135,"8,65%"
NGRD3,135,-4999,069,1149,"0,42%",478,212,-4820,608,-2494,892,"-2,38%","-2,58%",239,"-1,41%","-1,38%","953.390,00","446.826.000,00",004,"5,58%"
MTIG4,2300,-4952,-35915,56001,"0,00%",36906,-5093,-9431,-4400,-9557,-10460,"-59,38%","-113,09%",27,"-47,80%","725,28%",000,"-7.835.380,00",-495,"-26,54%"
RAIL3,2361,-4886,306,3500,"0,39%",890,693,940,-192,1189,580,"37,22%","-7,12%",212,"11,59%","-6,26%","242.547.000,00","14.309.300.000,00",137,"15,77%"
CLSA3,727,-4850,193,2826,"0,00%",1570,365,-1670,381,-1247,-2865,"-16,92%","-5,83%",355,"-17,40%","-3,98%","13.069.600,00","707.285.000,00",003,"0,80%"
